date,hospital,wait_time
2024-12-27,AH,1.37
2024-12-28,AH,1.275
2024-12-29,AH,0.952361111092614
2024-12-30,AH,1.1575000000884756
2024-12-31,AH,1.4316666667582467
2025-01-01,AH,2.4726388888957445
2025-01-02,AH,1.68333333323244
2025-01-03,AH,1.1075000001001172
2025-01-04,AH,1.71805555553874
2025-01-05,AH,1.61
2025-01-06,AH,2.23
2025-01-07,AH,1.12
2025-01-08,AH,1.59
2025-01-09,AH,1.65
2025-01-10,AH,1.18
2025-01-11,AH,1.43
2025-01-12,AH,1.38388888898771
2025-01-13,AH,1.59958333329996
2025-01-14,AH,1.57638888884685
2025-01-15,AH,2.00416666665114
2025-01-16,AH,1.13986111109261
2025-01-17,AH,1.30430555556085
2025-01-18,AH,1.55180555552942
2025-01-19,AH,1.44
2025-01-20,AH,1.54
2025-01-21,AH,1.33
2025-01-22,AH,1.39
2025-01-23,AH,1.09
2025-01-24,AH,1.39
2025-01-25,AH,0.75
2025-01-26,AH,0.9865277777134907
2025-01-27,AH,0.8475000000034925
2025-01-28,AH,0.9112500000628643
2025-01-29,AH,1.0872222222969867
2025-01-30,AH,1.2402777776587754
2025-01-31,AH,0.9205555554362945
2025-02-01,AH,0.813611110963393
2025-02-02,AH,0.83
2025-02-03,AH,1.84
2025-02-04,AH,2.67
2025-02-05,AH,1.82
2025-02-06,AH,1.36
2025-02-07,AH,1.36
2025-02-08,AH,0.89
2025-02-09,AH,1.37138888894696
2025-02-10,AH,1.48236111117876
2025-02-11,AH,1.70847222214797
2025-02-12,AH,1.70958333334419
2025-02-13,AH,1.12763888898189
2025-02-14,AH,1.99444444442633
2025-02-15,AH,1.64416666666511
2025-02-16,AH,1.21
2025-02-17,AH,1.1
2025-02-18,AH,1.025
2025-02-19,AH,2.315
2025-02-20,AH,1.17
2025-02-21,AH,1.09
2025-02-22,AH,1.51
2025-02-23,AH,1.05930555556551
2025-02-24,AH,1.51263888878747
2025-02-25,AH,0.817499999888241
2025-02-26,AH,1.48249999992549
2025-02-27,AH,1.40111111113219
2025-02-28,AH,1.79027777787996
2025-03-01,AH,1.31333333335351
2025-03-02,AH,1.53
2025-03-03,AH,1.42
2025-03-04,AH,1.02
2025-03-05,AH,1.3
2025-03-06,AH,1.59
2025-03-07,AH,1.06
2025-03-08,AH,0.55
2025-03-09,AH,1.1930555555736646
2025-03-10,AH,1.533472222276032
2025-03-11,AH,0.925138888793299
2025-03-12,AH,0.8074999999953434
2025-03-13,AH,1.4411111111403443
2025-03-14,AH,1.6122222221747506
2025-03-15,AH,1.3800000000628643
2025-03-16,AH,0.97
2025-03-17,AH,1.255
2025-03-18,AH,1.145
2025-03-19,AH,1.3050000000000002
2025-03-20,AH,1.08
2025-03-21,AH,0.76
2025-03-22,AH,0.9550000000000001
2025-03-23,AH,1.6166666666977108
2025-03-24,AH,1.4827777777682059
2025-03-25,AH,1.4513888888759539
2025-03-26,AH,1.1193055556213949
2025-03-27,AH,0.9536111112101935
2025-03-28,AH,1.0561111110728234
2025-03-29,AH,1.0043055556307081
2025-03-30,AH,1.25
2025-03-31,AH,1.12
2025-04-01,AH,1.5
2025-04-02,AH,0.64
2025-04-03,AH,1.375
2025-04-04,AH,1.52
2025-04-05,AH,0.96
2025-04-06,AH,1.01
2025-04-07,AH,1.2
2025-04-08,AH,1.19
2025-04-09,AH,1.33
2025-04-10,AH,1.18
2025-04-11,AH,1.37
2025-04-12,AH,1.26
2025-04-13,AH,1.28763888892717
2025-04-14,AH,1.19222222222015
2025-04-15,AH,1.51694444438908
2025-04-16,AH,1.05694444442633
2025-04-17,AH,0.952500000013969
2025-04-18,AH,0.428055555559694
2025-04-19,AH,1.7987500000745
2025-04-20,AH,1.4833333333663177
2025-04-21,AH,1.3449999999138527
2025-04-22,AH,1.3194444444961846
2025-04-23,AH,1.258055555575993
2025-04-24,AH,1.4026388889178634
2025-04-25,AH,0.9494444444426335
2025-04-26,AH,0.6180555556202307
2025-04-27,AH,1.725
2025-04-28,AH,0.86
2025-04-29,AH,1.645
2025-04-30,AH,0.84
2025-05-01,AH,1.3599999999999999
2025-05-02,AH,1.36
2025-05-03,AH,1.17
2025-05-04,AH,1.25
2025-05-05,AH,2.09
2025-05-06,AH,1.25
2025-05-07,AH,1.04
2025-05-08,AH,1.51
2025-05-09,AH,0.75
2025-05-10,AH,1.49
2025-05-11,AH,1.14611111106933
2025-05-12,AH,1.1524999999674
2025-05-13,AH,1.26111111106001
2025-05-14,AH,2.7874999999185
2025-05-15,AH,1.58361111109843
2025-05-16,AH,1.11277777788927
2025-05-17,AH,1.47972222219686
2025-05-18,AH,1.3952777777449228
2025-05-19,AH,1.1841666667023674
2025-05-20,AH,1.1366666665999219
2025-05-21,AH,1.6691666665719822
2025-05-22,AH,1.3211111112032086
2025-05-23,AH,1.2222222222480923
2025-05-24,AH,1.5683333332417533
2025-05-25,AH,1.27
2025-05-26,AH,1.32
2025-05-27,AH,1.38
2025-05-28,AH,1.8900000000000001
2025-05-29,AH,1.47
2025-05-30,AH,1.31
2025-05-31,AH,0.8
2025-06-01,AH,1.37
2025-06-02,AH,0.99
2025-06-03,AH,1.42
2025-06-04,AH,1.4
2025-06-05,AH,1.18
